Boletos,Ingresos,% Δ,Cantidad,% Δ
COMODORO RIVADAVIA → Mendoza,6348130.995,0.30%,28,0.09%
Resistencia → TRELEW CUSTOM ANDESMAR AR,5746553.669,0.27%,28,0.09%
TRELEW → RIO GALLEGOS,4206261,0.20%,28,0.09%
Santiago → Villa la Angostura,2173500.007,0.10%,28,0.09%
SAN LUIS → LINIERS,2006346.074,0.09%,28,0.09%
General Roca → TRELEW,1976370.001,0.09%,28,0.09%
SAN ANTONIO OESTE → NEUQUEN,1039774.997,0.05%,28,0.09%
San Salvador de Jujuy → TUCUMAN,873179.9983,0.04%,28,0.09%
BAHIA BLANCA → SANTA ROSA - LPM,810351.6022,0.04%,28,0.09%
Merlo - SLU → CORDOBA,633200.0031,0.03%,28,0.09%
RESISTENCIA → Goya Acc,423367.0009,0.02%,28,0.09%
Mendoza → Añelo,3034795.002,0.14%,27,0.09%
BAHIA BLANCA → General Pico - LPM,1274420.002,0.06%,27,0.09%
Mendoza → RIO CUARTO,959429.997,0.04%,27,0.09%
PUERTO MADRYN → LAS GRUTAS,792200.0043,0.04%,27,0.09%
Santa Rosa - LPA → BAHIA BLANCA,739950.0033,0.03%,27,0.09%
TRELEW → CORDOBA,4068209,0.19%,26,0.09%
PUNTA ALTA → Mendoza,3207917.206,0.15%,26,0.09%
Mar del Plata → NEUQUEN,2826599.996,0.13%,26,0.09%
VIEDMA → Retiro Buenos Aires,1992999.993,0.09%,26,0.09%
NEUQUEN → BAHIA BLANCA,1197010,0.06%,26,0.09%
NEUQUEN → Villa Regina,259659.9995,0.01%,26,0.09%
LAS GRUTAS → CORDOBA,3347150.005,0.16%,25,0.08%
CORDOBA → LAS GRUTAS,3285780.007,0.15%,25,0.08%
SAN LUIS → Santa Rosa - LPA,1476114.948,0.07%,25,0.08%
PUERTO MADRYN → General Roca,1426019.998,0.07%,25,0.08%
Valdivia → Villa la Angostura,1344000.001,0.06%,25,0.08%
CORDOBA → Realico - LPM,994382.002,0.05%,25,0.08%
TRELEW → VIEDMA,871786.0019,0.04%,25,0.08%
Cinco Saltos → Bariloche,815795.0021,0.04%,25,0.08%
San Juan → Mendoza,702239.9983,0.03%,25,0.08%
GENERAL ALVEAR → Santa Isabel - LPM,290229.9988,0.01%,25,0.08%
TRELEW → Cipolletti - RNG,1638810.002,0.08%,24,0.08%
Buenos Aires → BAHIA BLANCA,1418829.997,0.07%,24,0.08%
Osorno → Villa la Angostura,1227450.005,0.06%,24,0.08%
PARANA → CORRIENTES,1090313,0.05%,24,0.08%
Bariloche → Plottier,813059.9968,0.04%,24,0.08%
PUERTO MADRYN → VIEDMA,772038.0012,0.04%,24,0.08%
Salta → La Quiaca,724500.0038,0.03%,24,0.08%
COMODORO RIVADAVIA → CORDOBA,4587351.004,0.21%,23,0.08%
