Boletos,Ingresos,% Δ,Cantidad,% Δ
BAHIA BLANCA → Cipolletti - RNG,795900.000847,,18,
VIEDMA → BAHIA BLANCA,332859.999726,,18,
San Juan → Mar del Plata,2509499.997949,,17,
San Martin (MZA) → Mar del Plata,2207550.000107,,17,
BAHIA BLANCA → COMODORO RIVADAVIA,1935540.002217,,17,
Mendoza → PUNTA ALTA,1930530.000567,18.048149861019045,17,16
General Roca → Mendoza,1797780.000528,,17,
NEUQUEN → Lujan Azcuenaga - MZA,1295410.000049,,17,
Plottier → Mendoza,1266630.002272,,17,
SANTA ROSA - LPM → Mendoza,1187559.9993150001,,17,
Retiro Buenos Aires → Villa Mercedes - SLU,1012760.00168,,17,
Villa Mercedes - SLU → Retiro Buenos Aires,1000890.002453,,17,
COMODORO RIVADAVIA → Luis Piedrabuena,986749.999151,,17,
Monte Hermoso → Santa Rosa - LPA,905549.999428,,17,
General Pico - LPM → BAHIA BLANCA,819719.997752,,17,
RESISTENCIA → PARANA,797857.999778,,17,
Villa Dolores - CBA → Mendoza,756890.000823,,17,
TRELEW → LAS GRUTAS,707194.9987280001,,17,
LAS GRUTAS → TRELEW,687859.9984609999,,17,
CALETA OLIVIA → TRELEW,629988.000389,17.458482296414537,17,16
Mendoza → Villa Mercedes - SLU,525230.000397,,17,
NEUQUEN → Choele Choel,397009.9997,,17,
Choele Choel → NEUQUEN,394069.99848800007,,17,
Mendoza → Las Avispas,64099.999341999996,17.472625030375184,17,16
COMODORO RIVADAVIA → Cipolletti - RNG,2097660.001887,,16,
San Francisco - CBA → Mendoza,1529947.8400830003,,16,
RIO CUARTO → BAHIA BLANCA,1321990.0015750001,,16,
PUERTO MADRYN → Villa Regina,862339.997587,,16,
Mendoza → Villa Carlos Paz,855201.3240470001,12.804702435648442,16,15
PARANA → RESISTENCIA,754422.999164,,16,
Mendoza → Punta de Vacas,260009.99674100004,3.6530062937095247,16,3
RIO GALLEGOS → CORDOBA,4293617.0017450005,8.72110353101264,15,6.5
Mar del Plata → San Juan,2236499.9983670004,,15,
RIO CUARTO → Salta,1759600.001123,,15,
Retiro Buenos Aires → LAS GRUTAS,1681160.001493,,15,
LA PLATA → Mendoza,1426090.00028,,15,
SAN JUAN → Retiro Buenos Aires,1416190.003064,,15,
San Martin (MZA) → Retiro Buenos Aires,1283790.000241,,15,
NEUQUEN → RAWSON,1180813.518765,18.66056460331386,15,14
Lujan Azcuenaga - MZA → Cinco Saltos,1067260.001851,,15,
NEUQUEN → Tunuyan - Mza,821049.995107,,15,
CORRIENTES → SANTA FE,728086.0002280001,12.174688708313399,15,14
Retiro Buenos Aires → Cnel Pringles Bs As,710145.999843,23.15462561331277,15,14
Mendoza → Villa Dolores - CBA,667830.002501,,15,
BAHIA BLANCA → LAS GRUTAS,656280.000266,5.446758312548486,15,4
Vedia  Bs. As. → Retiro Buenos Aires,458880.000108,,15,
Huinca Renanco → SANTA ROSA - LPM,336063.9993020001,,15,
Cnia 25 de Mayo - LPM → NEUQUEN,212600.00056800002,,15,
Caleta Olivia → Mendoza,3023369.820075,,14,
LAS GRUTAS → RIO GALLEGOS,2629342.0024329997,,14,
RIO GALLEGOS → LAS GRUTAS,2618304.0001949994,19.828128274947797,14,13
Buenos Aires → COMODORO RIVADAVIA,2350830.001025,,14,
Caleta Olivia → BAHIA BLANCA,1880958.004162,,14,
Mendoza → RINCÓN DE LOS SAUCES,1701000.0005039999,,14,
Cipolletti - RNG → COMODORO RIVADAVIA,1585520.003816,,14,
CORDOBA → Perico,1071444.999552,,14,
TRELEW → BAHIA BLANCA,911960.0005650001,6.061246545818357,14,3.6666666666666665
Villa la Angostura → Puerto Varas,840000.0022039999,23.242423906538985,14,13
COMODORO RIVADAVIA → Pto San Julian,767999.9995469998,,14,
Catriel → LAS GRUTAS,633370.0024540001,,14,
La Quiaca → Salta,491400.00232399994,,14,
RAWSON → Caleta Olivia,485448.00109599996,,14,
CATAMARCA → TUCUMAN,453520.00102799997,,14,
Realico - LPM → CORDOBA,435470.000649,,14,
CORDOBA → Villa Mercedes - SLU,402110.00256899995,,14,
SANTA ROSA - LPM → Huinca Renanco,271379.99741199997,,14,
RESISTENCIA → Bella Vista - COR,158614.000694,,14,
COMODORO RIVADAVIA → TUCUMAN,3338249.999926,,13,
Gral Guemes → BAHIA BLANCA,2642593.678498,,13,
Mendoza → Roque Saenz Peña,1936950.0016469997,,13,
BAHIA BLANCA → Caleta Olivia,1850640.001994,,13,
Caleta Olivia → General Roca,1850020.001919,,13,
LINIERS → PUERTO MADRYN,1822589.995207,,13,
